ID,백준 문제 번호,백준 링크,프로그래머스 링크
1,https://www.acmicpc.net/problem/11720,https://www.acmicpc.net/problem/11720,
2,9046,https://www.acmicpc.net/problem/9046,
3,10798,https://www.acmicpc.net/problem/10798,
4,1157,https://www.acmicpc.net/problem/1157,https://school.programmers.co.kr/learn/courses/30/lessons/12916
5,9996,https://www.acmicpc.net/problem/9996,
6,17413,https://www.acmicpc.net/problem/17413,
7,2609,https://www.acmicpc.net/problem/2609,https://school.programmers.co.kr/learn/courses/30/lessons/12940
8,3613,https://www.acmicpc.net/problem/3613,https://school.programmers.co.kr/learn/courses/30/lessons/72410
9,1929,https://www.acmicpc.net/problem/1929,https://school.programmers.co.kr/learn/courses/30/lessons/12921
10,20291,https://www.acmicpc.net/problem/20291,https://school.programmers.co.kr/learn/courses/30/lessons/42576
11,9342,https://www.acmicpc.net/problem/9342,
12,1373,https://www.acmicpc.net/problem/1373,
13,2004,https://www.acmicpc.net/problem/2004,
14,9012,https://www.acmicpc.net/problem/9012,https://school.programmers.co.kr/learn/courses/30/lessons/12909
15,3986,https://www.acmicpc.net/problem/3986,https://school.programmers.co.kr/learn/courses/30/lessons/12973
16,10799,https://www.acmicpc.net/problem/10799,https://school.programmers.co.kr/learn/courses/30/lessons/12973
17,18258,https://www.acmicpc.net/problem/18258,https://school.programmers.co.kr/learn/courses/30/lessons/42583
19,1874,https://www.acmicpc.net/problem/1874,https://school.programmers.co.kr/learn/courses/30/lessons/12906
20,1935,https://www.acmicpc.net/problem/1935,
21,1918,https://www.acmicpc.net/problem/1918,
22,1966,https://www.acmicpc.net/problem/1966,https://school.programmers.co.kr/learn/courses/30/lessons/42587
23,2840,https://www.acmicpc.net/problem/2840,
24,1406,https://www.acmicpc.net/problem/1406,
25,5397,https://www.acmicpc.net/problem/5397,
31,2960,https://www.acmicpc.net/problem/2960,https://school.programmers.co.kr/learn/courses/30/lessons/12921
32,2870,https://www.acmicpc.net/problem/2870,
33,10773,https://www.acmicpc.net/problem/10773,https://school.programmers.co.kr/learn/courses/30/lessons/12906
34,2504,https://www.acmicpc.net/problem/2504,https://school.programmers.co.kr/learn/courses/30/lessons/76502
35,1620,https://www.acmicpc.net/problem/1620,https://school.programmers.co.kr/learn/courses/30/lessons/1845
36,4358,https://www.acmicpc.net/problem/4358,https://school.programmers.co.kr/learn/courses/30/lessons/42579
37,10816,https://www.acmicpc.net/problem/10816,https://school.programmers.co.kr/learn/courses/30/lessons/42576
38,9375,https://www.acmicpc.net/problem/9375,https://school.programmers.co.kr/learn/courses/30/lessons/42578
39,2164,https://www.acmicpc.net/problem/2164,https://school.programmers.co.kr/learn/courses/30/lessons/42583
40,1158,https://www.acmicpc.net/problem/1158,https://school.programmers.co.kr/learn/courses/30/lessons/42587
41,18115,https://www.acmicpc.net/problem/18115,
42,14425,https://www.acmicpc.net/problem/14425,https://school.programmers.co.kr/learn/courses/30/lessons/42577
43,"19583 ",https://www.acmicpc.net/problem/19583,https://school.programmers.co.kr/learn/courses/30/lessons/42576
44,1940,https://www.acmicpc.net/problem/1940,https://school.programmers.co.kr/learn/courses/30/lessons/42885
45,2559,https://www.acmicpc.net/problem/2559,https://school.programmers.co.kr/learn/courses/30/lessons/131701
46,2531,https://www.acmicpc.net/problem/2531,https://school.programmers.co.kr/learn/courses/30/lessons/131127
47,11047,https://www.acmicpc.net/problem/11047,https://school.programmers.co.kr/learn/courses/30/lessons/42862
48,14916,https://www.acmicpc.net/problem/14916,https://school.programmers.co.kr/learn/courses/30/lessons/42862
49,1758,https://www.acmicpc.net/problem/1758,https://school.programmers.co.kr/learn/courses/30/lessons/42885
50,1343,https://www.acmicpc.net/problem/1343,https://school.programmers.co.kr/learn/courses/30/lessons/12982
51,21921,https://www.acmicpc.net/problem/21921,https://school.programmers.co.kr/learn/courses/30/lessons/131127
52,2141,https://www.acmicpc.net/problem/2141,https://school.programmers.co.kr/learn/courses/30/lessons/42885
53,13305,https://www.acmicpc.net/problem/13305,https://school.programmers.co.kr/learn/courses/30/lessons/42860
54,2217,https://www.acmicpc.net/problem/2217,https://school.programmers.co.kr/learn/courses/30/lessons/42883
55,1541,https://www.acmicpc.net/problem/1541,https://school.programmers.co.kr/learn/courses/30/lessons/42883
56,72410,https://school.programmers.co.kr/learn/courses/30/lessons/72410,https://school.programmers.co.kr/learn/courses/30/lessons/72410
57,16165,https://www.acmicpc.net/problem/16165,https://school.programmers.co.kr/learn/courses/30/lessons/42577
58,92335,https://school.programmers.co.kr/learn/courses/30/lessons/92335,https://school.programmers.co.kr/learn/courses/30/lessons/92335
59,17276,https://www.acmicpc.net/problem/17276,https://school.programmers.co.kr/learn/courses/30/lessons/77485
